País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
Alemanha,3203,3535,4609,3869,2223,1989,3297,2988,3026,4227,5494,5386,2011,Europa
Áustria,421,517,801,336,236,208,506,383,296,541,752,757,2011,Europa
Bélgica,460,492,596,746,740,433,979,499,448,702,821,878,2011,Europa
Dinamarca,612,869,556,740,334,380,607,267,359,546,592,761,2011,Europa
Espanha,1962,2334,3409,3256,2344,2238,2727,2819,2221,2798,3284,3595,2011,Europa
Finlândia,487,397,320,223,205,175,260,124,159,264,237,463,2011,Europa
França,4985,7596,6399,6570,4773,3606,6053,5842,3598,5703,6322,8646,2011,Europa
Grécia,147,182,136,134,162,91,211,230,122,128,173,275,2011,Europa
Holanda,910,976,1164,772,782,898,1182,696,790,1149,1366,1845,2011,Europa
Hungria,211,159,147,85,170,58,81,45,68,81,266,132,2011,Europa
Inglaterra,3434,5322,6169,5028,3377,3336,3331,3417,3837,4411,5483,5325,2011,Europa
Irlanda,395,377,441,367,333,408,479,316,395,435,528,562,2011,Europa
Itália,3987,3471,3413,2448,1839,2571,3388,5022,2326,3157,5075,7607,2011,Europa
Noruega,1354,1547,1007,1129,640,790,663,581,845,1022,1364,1466,2011,Europa
Polônia,303,490,531,260,353,331,347,233,257,218,725,384,2011,Europa
Portugal,3280,3020,3335,3955,2259,2139,2418,2615,2591,2754,3836,4976,2011,Europa
República Tcheca,148,237,274,214,241,199,114,131,122,133,241,160,2011,Europa
Rússia,1356,1674,1245,598,356,372,270,361,358,787,1061,1458,2011,Europa
Suécia,1327,1201,833,757,494,480,531,344,398,601,944,1492,2011,Europa
Suíça,947,1078,1069,1184,485,496,1144,467,551,939,1058,1992,2011,Europa
Outros,1233,1227,1298,839,985,659,1041,533,623,739,1442,1450,2011,Europa
Austrália,780,838,1815,903,869,507,591,601,753,949,1037,1317,2011,Oceania
Nova Zelândia,124,137,377,180,378,144,216,182,145,167,200,256,2011,Oceania
Outros,1,0,1,4,2,4,1,1,0,2,5,1,2011,Oceania
África do Sul,131,200,175,208,134,166,177,139,125,147,108,438,2012,África
Angola,1636,1282,1316,1088,922,721,864,885,952,789,868,1218,2012,África
Cabo Verde,5,10,19,10,5,25,6,11,15,10,17,4,2012,África
Nigéria,66,108,75,57,88,510,36,37,29,48,50,37,2012,África
Outros,390,581,594,340,380,2066,352,334,320,297,394,571,2012,África
Costa Rica,296,116,222,196,197,251,120,164,163,283,192,220,2012,América Central
Cuba,65,36,65,62,76,125,70,80,80,102,93,101,2012,América Central
Panamá,50,62,140,75,89,168,64,124,73,135,177,112,2012,América Central
Porto Rico,71,71,153,164,88,148,94,120,147,183,213,147,2012,América Central
Outros,182,192,373,279,313,614,276,320,311,611,434,289,2012,América Central
Canadá,1218,1784,1576,1190,808,1311,817,806,801,1045,1136,1809,2012,América do Norte
Estados Unidos,10711,16457,15989,10892,11623,14133,11607,13538,11203,11679,13383,18782,2012,América do Norte
México,554,661,969,902,634,847,907,949,712,899,796,933,2012,América do Norte
Argentina,36393,27163,31410,22982,13370,9467,21528,14026,16634,18842,20754,23275,2012,América do Sul
Bolívia,61,47,56,62,47,143,88,52,76,83,70,88,2012,América do Sul
Chile,7344,9018,7530,5962,6038,5450,5391,5094,6864,7516,5866,6353,2012,América do Sul
Colômbia,1183,1108,1803,1404,1152,1848,1461,1502,1824,1833,2226,2748,2012,América do Sul
Equador,168,338,707,466,383,566,405,497,349,585,470,318,2012,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,1,0,2012,América do Sul
Paraguai,755,433,648,303,246,364,264,222,176,200,173,222,2012,América do Sul
Peru,437,654,1189,958,824,729,698,1094,961,1143,921,1108,2012,América do Sul
República da Guiana,5,1,10,11,4,14,5,1,20,15,13,4,2012,América do Sul
Suriname,0,0,1,1,1,6,3,0,20,0,1,1,2012,América do Sul
Uruguai,1524,1420,2519,1794,1484,1341,907,766,1066,1129,1064,1232,2012,América do Sul
Venezuela,510,898,1214,1015,664,926,735,1196,1306,972,1070,1085,2012,América do Sul
China,871,1107,828,868,1107,1687,941,1163,1335,1333,2110,1427,2012,Ásia
Índia,329,464,401,387,506,848,387,492,301,549,409,413,2012,Ásia
Israel,823,1785,1009,740,389,366,474,494,857,431,517,507,2012,Ásia
Japão,425,1222,604,666,583,1476,666,833,786,847,808,738,2012,Ásia
República da Coréia,259,326,261,181,280,856,280,231,268,293,308,310,2012,Ásia
Outros,727,1121,1187,887,707,2759,795,1028,789,1248,925,955,2012,Ásia
Alemanha,3543,4626,6153,3548,2935,3285,3947,3857,3763,5173,6342,6668,2012,Europa
Áustria,569,735,902,396,303,399,457,420,442,648,823,814,2012,Europa
Bélgica,613,767,781,743,490,769,1012,521,642,845,776,939,2012,Europa
Dinamarca,693,696,711,413,273,741,476,329,380,567,647,778,2012,Europa
Espanha,2522,2683,3297,1922,1735,2119,2460,2716,2319,2772,3056,2699,2012,Europa
Finlândia,317,383,275,341,194,287,126,124,211,237,282,485,2012,Europa
França,5568,9109,7468,7151,4631,5340,7318,6882,4418,7102,7128,9641,2012,Europa
Grécia,88,210,186,143,96,167,90,127,104,129,192,273,2012,Europa
Holanda,1270,1613,1264,1093,1042,1440,2047,1162,1330,1544,1822,2084,2012,Europa
Hungria,228,266,201,93,52,157,74,106,45,162,232,169,2012,Europa
Inglaterra,4735,7205,7112,4009,3567,4333,3838,3869,4599,5101,5677,5858,2012,Europa
Irlanda,484,566,372,350,332,520,482,363,411,567,476,504,2012,Europa
Itália,5101,4539,5111,3506,2265,2795,3243,5693,2719,3550,4758,6805,2012,Europa
Noruega,1084,1260,1882,840,641,954,896,552,1242,931,1251,1455,2012,Europa
Polônia,573,690,654,390,266,245,271,385,335,646,968,450,2012,Europa
Portugal,3079,3266,4459,2972,2344,2452,2470,2917,2837,3035,3429,4473,2012,Europa
República Tcheca,243,331,279,168,83,157,178,98,135,287,508,232,2012,Europa
Rússia,1447,1508,1226,1106,655,771,632,568,623,1125,1437,1662,2012,Europa
Suécia,1167,1069,935,617,418,894,517,335,446,766,991,2037,2012,Europa
Suíça,1017,1223,1427,1014,567,763,1269,535,657,1013,1206,2097,2012,Europa
Outros,1720,1608,1645,1057,627,1247,648,841,837,1455,1614,1764,2012,Europa
Austrália,981,2696,1243,1222,1084,1508,693,938,1101,1353,1247,1777,2012,Oceania
Nova Zelândia,132,260,225,241,149,260,180,150,289,280,177,289,2012,Oceania
Outros,0,4,6,1,1,120,5,5,1,0,5,4,2012,Oceania
África do Sul,94,158,129,120,112,149,127,106,110,115,86,254,2013,África
Angola,997,924,868,891,995,678,1374,1207,883,1199,1212,1011,2013,África
Cabo Verde,4,9,8,5,8,5,16,17,17,14,8,5,2013,África
Nigéria,21,40,76,39,48,60,300,82,47,70,168,40,2013,África
Outros,341,384,457,329,297,348,1332,749,198,569,561,527,2013,África
Costa Rica,230,119,167,236,207,197,540,210,175,241,254,271,2013,América Central
Cuba,34,59,104,82,50,85,198,87,52,87,108,72,2013,América Central
Panamá,39,78,110,77,72,179,391,132,50,157,253,99,2013,América Central
Porto Rico,130,129,190,140,154,119,500,142,154,253,296,166,2013,América Central
Outros,196,329,387,354,330,393,1961,471,210,395,476,338,2013,América Central
Canadá,1055,1883,1522,1027,1061,860,1496,1031,584,1065,1156,1641,2013,América do Norte
Estados Unidos,10347,16094,19055,13144,14617,13006,18417,13709,8077,13714,12278,18666,2013,América do Norte
México,411,579,719,654,791,2899,2758,1082,582,853,900,929,2013,América do Norte
Argentina,37007,28362,35813,19604,10019,11040,19942,13897,11507,18535,20776,22803,2013,América do Sul
Bolívia,48,73,74,70,86,77,91,82,48,48,83,104,2013,América do Sul
Chile,7738,11439,9136,5485,5657,4451,6955,4908,4724,7101,6159,6248,2013,América do Sul
Colômbia,1708,1486,2421,1552,1396,2007,2485,2077,1396,2712,1907,2416,2013,América do Sul
Equador,215,256,387,446,398,346,947,566,341,483,519,326,2013,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2013,América do Sul
Paraguai,112,138,142,129,338,171,230,111,61,129,214,305,2013,América do Sul
Peru,832,1147,1571,1008,1097,1053,1996,1375,858,1380,896,985,2013,América do Sul
República da Guiana,0,8,10,3,3,3,5,12,3,1,9,4,2013,América do Sul
Suriname,0,3,8,0,3,0,10,4,4,3,4,1,2013,América do Sul
Uruguai,1717,1742,3040,1615,1327,1432,1821,1657,1315,2078,1710,1203,2013,América do Sul
Venezuela,412,885,676,624,732,622,1821,591,277,515,326,406,2013,América do Sul
China,701,811,1028,1164,1174,1246,1130,1455,543,1389,1369,1065,2013,Ásia
Índia,224,425,485,784,548,369,510,517,232,398,479,441,2013,Ásia
Israel,1075,1491,721,682,394,284,432,659,474,471,737,678,2013,Ásia
Japão,558,1716,725,740,725,903,852,1297,639,768,1551,745,2013,Ásia
República da Coréia,256,314,327,243,453,269,309,288,137,330,301,431,2013,Ásia
Outros,642,1447,1192,998,1242,915,1890,1293,472,1038,1496,1295,2013,Ásia
Alemanha,4279,5465,7916,3806,3817,3379,4715,4051,2501,5216,4840,5880,2013,Europa
Áustria,558,697,781,412,352,275,701,483,254,607,603,691,2013,Europa
Bélgica,560,716,877,698,449,635,980,643,434,942,796,853,2013,Europa
Dinamarca,721,802,650,510,352,416,551,398,273,723,617,753,2013,Europa
Espanha,2304,2545,3558,2528,2333,2637,4655,3425,1911,3071,3158,3010,2013,Europa
Finlândia,401,414,395,286,205,198,158,244,150,346,526,514,2013,Europa
França,5512,8323,8835,7380,4759,4228,10320,7760,2719,6922,6145,7575,2013,Europa
Grécia,157,170,196,175,134,123,130,213,52,154,280,284,2013,Europa
Holanda,1421,1636,1478,1670,1145,1110,2086,1426,908,1786,1658,1935,2013,Europa
Hungria,244,282,218,98,104,99,197,180,97,154,303,159,2013,Europa
Inglaterra,4364,8377,8170,5139,5963,4798,4641,4931,3168,5725,5324,5847,2013,Europa
Irlanda,361,475,650,351,322,425,664,378,279,463,438,444,2013,Europa
Itália,4912,5149,5568,3924,2789,3793,7665,5425,2048,3823,4958,7007,2013,Europa
Noruega,1121,1489,1583,886,695,943,997,703,566,1113,1258,1161,2013,Europa
Polônia,609,1110,654,694,393,350,1746,399,277,454,668,427,2013,Europa
Portugal,3440,3692,5089,3259,2779,2822,3228,3594,2604,3224,4380,5269,2013,Europa
República Tcheca,171,295,309,213,174,97,296,175,117,151,420,267,2013,Europa
Rússia,1157,2149,1019,1372,601,637,475,770,355,1007,1054,1476,2013,Europa
Suécia,1173,1237,1033,729,524,511,514,437,325,1016,986,1816,2013,Europa
Suíça,1151,1496,1833,1001,865,644,1679,691,480,1255,1181,2130,2013,Europa
Outros,1464,2162,1686,1418,887,732,1320,1136,450,1503,1478,1491,2013,Europa
Austrália,1341,2523,1499,1155,918,741,2608,1161,729,1144,1143,1530,2013,Oceania
Nova Zelândia,162,297,248,180,176,129,260,267,117,239,193,265,2013,Oceania
Outros,0,1,1,0,4,0,26,9,1,0,1,9,2013,Oceania
África do Sul,174,140,105,129,170,444,421,89,155,119,134,504,2014,África
Angola,2378,1536,856,1377,1714,1338,1228,1574,1488,1450,1536,2214,2014,África
Cabo Verde,3,25,8,6,18,28,18,34,9,19,22,19,2014,África
Nigéria,76,184,271,191,150,354,170,42,105,50,59,31,2014,África
Outros,408,556,556,343,521,2638,1209,567,556,359,615,877,2014,África
Costa Rica,277,167,122,261,231,1190,302,290,211,221,263,547,2014,América Central
Cuba,88,59,22,35,82,61,127,100,86,53,86,128,2014,América Central
Panamá,53,45,96,97,139,1093,643,118,104,129,232,343,2014,América Central
Porto Rico,179,166,98,138,172,515,422,133,163,175,266,468,2014,América Central
Outros,376,258,278,345,412,1944,1184,424,388,314,600,573,2014,América Central
Canadá,1347,1966,1218,1402,1091,4214,2171,1137,983,1048,1325,3751,2014,América do Norte
Estados Unidos,14648,17575,12057,12058,15262,49151,23226,16042,12256,14691,15391,32435,2014,América do Norte
México,672,941,708,1286,1169,9762,5373,1601,1504,1580,2126,3501,2014,América do Norte
Argentina,35003,32607,18797,18289,12728,25517,29001,11538,14484,16011,18168,32734,2014,América do Sul
Bolívia,68,57,46,54,70,219,300,63,83,68,70,137,2014,América do Sul
Chile,10921,13838,4220,4723,5294,17617,6481,5116,7688,7874,7425,13343,2014,América do Sul
Colômbia,1513,1635,1277,2267,2183,12112,3606,2326,1926,2208,2507,5635,2014,América do Sul
Equador,223,319,339,289,358,4056,530,516,337,332,680,700,2014,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2014,América do Sul
Paraguai,277,145,80,100,111,86,275,147,121,170,154,485,2014,América do Sul
Peru,850,1136,724,805,987,1739,1939,1251,1047,1037,1479,1975,2014,América do Sul
República da Guiana,0,0,4,6,8,30,11,6,11,9,13,0,2014,América do Sul
Suriname,0,4,0,0,0,0,2,0,7,0,2,3,2014,América do Sul
Uruguai,1257,679,429,2030,101,1319,1093,1399,2023,2324,2302,2423,2014,América do Sul
Venezuela,436,500,426,476,500,1494,991,549,589,601,753,1337,2014,América do Sul
China,952,1013,788,1023,1445,3075,2045,1053,1058,1051,1051,1571,2014,Ásia
Índia,312,385,304,377,597,1415,1175,480,415,450,701,815,2014,Ásia
Israel,1242,1779,1230,802,678,2455,1620,573,782,733,811,1305,2014,Ásia
Japão,561,1003,1313,577,952,3557,1491,1282,1066,773,844,1152,2014,Ásia
República da Coréia,299,528,307,253,508,724,365,293,398,447,447,987,2014,Ásia
Outros,846,1435,1690,1272,1777,5101,4356,1110,1679,1589,1681,2419,2014,Ásia
Alemanha,4590,7171,4643,5087,4669,9713,10497,5338,4617,5889,6303,10328,2014,Europa
Áustria,617,836,506,499,442,973,944,708,484,757,922,1541,2014,Europa
Bélgica,731,948,672,979,708,4352,1365,663,749,1218,922,1362,2014,Europa
Dinamarca,673,1020,447,606,396,774,746,431,557,918,728,1382,2014,Europa
Espanha,2969,3443,2110,3109,2752,3856,4428,4414,2959,3279,3921,5878,2014,Europa
Finlândia,365,551,193,237,299,611,326,202,286,719,475,935,2014,Europa
França,6522,11802,6515,8532,6726,17411,11826,9643,5073,8101,8952,16939,2014,Europa
Grécia,161,323,160,173,189,452,298,241,286,179,274,639,2014,Europa
Holanda,1917,2268,1429,1753,1867,3687,3224,1798,1760,2100,2299,3393,2014,Europa
Hungria,309,330,127,138,81,213,283,94,157,203,255,371,2014,Europa
Inglaterra,6154,8585,5609,5965,6628,22877,9683,5744,5841,6340,6757,10656,2014,Europa
Irlanda,534,624,352,481,475,1075,763,485,510,534,524,990,2014,Europa
Itália,6452,7417,4288,5036,3748,4033,6052,7677,3441,4184,6028,14424,2014,Europa
Noruega,1195,1675,941,1472,887,2268,1453,801,1349,1255,1294,2052,2014,Europa
Polônia,637,1078,597,422,475,819,869,514,921,1534,1070,1177,2014,Europa
Portugal,5130,5280,2948,5279,3424,3074,3722,4396,3195,4091,4964,9639,2014,Europa
República Tcheca,261,451,220,208,171,196,241,154,295,371,560,487,2014,Europa
Rússia,1366,1941,1600,800,747,4047,2032,634,770,833,1450,2625,2014,Europa
Suécia,1345,1586,698,747,715,2643,1139,521,730,1184,1275,3803,2014,Europa
Suíça,1443,1719,1106,1344,915,2510,2320,856,903,1515,1355,3657,2014,Europa
Outros,1642,2696,1622,1005,1014,3245,2338,1012,1143,1586,2065,3551,2014,Europa
Austrália,1344,2663,1187,1365,1580,8401,2559,1126,1734,1465,1226,2827,2014,Oceania
Nova Zelândia,188,350,241,251,356,722,464,592,647,284,267,640,2014,Oceania
Outros,0,6,13,0,3,0,11,2,4,0,1,0,2014,Oceania
África do Sul,119,90,104,92,101,104,115,68,57,98,122,373,2015,África
Angola,1952,1051,1472,1012,1161,676,1016,1123,497,951,1251,977,2015,África
Cabo Verde,3,12,3,2,5,8,15,18,0,8,19,3,2015,África
Nigéria,9,22,25,22,9,30,12,11,9,21,66,29,2015,África
Outros,242,328,286,324,435,435,557,411,238,409,556,549,2015,África
Costa Rica,334,145,178,175,167,222,175,145,98,244,191,349,2015,América Central
Cuba,48,45,42,42,57,63,90,69,50,68,125,131,2015,América Central
Panamá,55,81,122,119,96,129,105,90,112,148,242,182,2015,América Central
Porto Rico,185,178,199,253,227,131,200,156,173,315,351,364,2015,América Central
Outros,176,313,351,373,316,501,399,381,339,492,553,439,2015,América Central
Canadá,1042,2157,1834,1347,1401,1045,1187,909,683,1725,2281,2499,2015,América do Norte
Estados Unidos,10035,16579,17903,14144,16478,16885,16885,13199,9068,16355,21578,25716,2015,América do Norte
México,873,1311,1856,1486,1519,1820,1400,808,702,1100,1144,1310,2015,América do Norte
Argentina,32957,30836,30136,21824,20049,14474,27194,19360,16575,33118,35016,40073,2015,América do Sul
Bolívia,47,48,62,47,52,36,66,48,35,63,75,95,2015,América do Sul
Chile,8911,12055,9398,5707,7652,4971,8236,5278,6122,9190,10179,9818,2015,América do Sul
Colômbia,1370,1384,2256,1573,1829,2547,1811,1615,1284,2546,2892,3915,2015,América do Sul
Equador,132,226,336,509,405,372,392,315,260,539,537,373,2015,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2015,América do Sul
Paraguai,128,131,119,149,149,194,310,321,211,399,307,596,2015,América do Sul
Peru,825,935,1406,1049,1076,963,1286,965,729,1411,1326,1411,2015,América do Sul
República da Guiana,2,6,11,2,0,8,11,19,15,5,12,11,2015,América do Sul
Suriname,5,2,0,0,2,8,2,9,2,0,12,3,2015,América do Sul
Uruguai,3552,2741,5175,2309,1813,2367,3348,3318,2131,4997,5428,4079,2015,América do Sul
Venezuela,286,466,720,1751,781,546,628,655,329,765,1275,1230,2015,América do Sul
China,334,1102,844,989,844,888,1076,649,664,1110,1090,1052,2015,Ásia
Índia,108,312,537,325,500,369,346,321,256,396,599,432,2015,Ásia
Israel,726,1842,754,778,376,446,507,373,589,504,644,730,2015,Ásia
Japão,389,1113,563,483,524,830,685,828,387,581,696,780,2015,Ásia
República da Coréia,268,354,253,384,328,214,227,184,197,363,466,387,2015,Ásia
Outros,631,1661,1274,995,1411,1358,1057,736,810,1311,1463,1507,2015,Ásia
Alemanha,2988,4715,6776,3626,3322,2758,3986,3884,2708,5912,5474,6598,2015,Europa
Áustria,572,667,750,378,586,299,735,556,279,563,723,801,2015,Europa
Bélgica,385,713,613,839,562,656,1242,643,331,795,909,890,2015,Europa
Dinamarca,521,795,817,393,397,659,729,441,309,819,671,882,2015,Europa
Espanha,2151,2748,3500,2389,2441,2501,3416,3065,1765,3183,4111,4071,2015,Europa
Finlândia,241,321,295,232,202,288,158,162,123,393,465,521,2015,Europa
França,5306,11806,7689,9452,6685,5030,10486,8132,3286,9051,9032,11442,2015,Europa
Grécia,139,269,227,262,162,173,143,212,77,220,333,329,2015,Europa
Holanda,1123,1487,1527,1659,1313,1343,2919,1305,932,1982,2479,2439,2015,Europa
Hungria,187,285,200,241,220,181,155,181,112,194,244,191,2015,Europa
Inglaterra,4490,8502,7346,6032,4919,5306,6188,4682,4172,7288,8027,8521,2015,Europa
Irlanda,348,453,441,381,364,405,581,363,325,522,494,590,2015,Europa
Itália,4610,5113,5744,4133,3111,3089,4173,4975,1953,5142,6412,8768,2015,Europa
Noruega,632,1283,1483,730,629,971,747,551,533,998,1456,1144,2015,Europa
Polônia,760,962,1156,760,808,420,562,530,455,626,1255,702,2015,Europa
Portugal,3718,4050,5753,3525,2929,3330,2904,3181,2138,3766,5516,6818,2015,Europa
República Tcheca,192,345,428,288,253,205,238,115,145,252,562,224,2015,Europa
Rússia,908,1126,1022,1359,1054,1127,556,435,381,929,1365,1338,2015,Europa
Suécia,960,1206,970,814,444,707,720,443,328,1091,1078,2031,2015,Europa
Suíça,1147,1486,1331,1191,753,680,1659,781,647,1487,1612,2442,2015,Europa
Outros,1173,2046,1651,1379,1313,1194,1108,1001,1006,1617,2279,1895,2015,Europa
Austrália,817,1913,1082,1206,1233,1014,1043,885,941,1400,1329,1510,2015,Oceania
Nova Zelândia,139,252,230,217,255,222,345,271,170,295,252,370,2015,Oceania
Outros,3,6,3,2,3,2,2,12,2,2,0,0,2015,Oceania
África do Sul,103,122,110,91,91,88,169,250,223,91,0,224,2016,África
Angola,1310,826,709,448,459,319,408,410,401,361,0,441,2016,África
Cabo Verde,11,5,14,5,10,15,19,18,4,7,0,14,2016,África
Egito,40,110,135,60,48,22,106,265,132,74,0,36,2016,África
Gana,1,4,5,26,7,4,12,21,4,22,0,0,2016,África
Marrocos,114,117,88,60,216,62,462,436,240,235,0,224,2016,África
Moçambique,21,11,0,1,3,10,25,3,14,11,0,15,2016,África
Nigéria,15,18,15,15,33,11,37,52,102,59,0,11,2016,África
Quênia,4,10,10,26,16,19,144,202,100,27,0,1,2016,África
Tunísia,165,95,38,32,44,25,181,225,73,52,0,45,2016,África
Costa Rica,247,121,279,225,221,229,253,245,161,192,0,297,2016,América Central e Caribe
Cuba,71,56,95,104,136,73,339,360,148,69,0,91,2016,América Central e Caribe
El Salvador,56,63,74,96,169,81,80,118,100,65,0,81,2016,América Central e Caribe
Guatemala,66,71,148,121,128,126,132,240,104,195,0,161,2016,América Central e Caribe
Haiti,18,10,8,8,15,4,4,26,22,16,0,16,2016,América Central e Caribe
Honduras,41,37,52,45,77,49,102,103,51,77,0,38,2016,América Central e Caribe
Nicarágua,30,7,21,32,41,22,18,37,30,22,0,16,2016,América Central e Caribe
Panamá,268,278,298,220,198,148,110,220,139,183,0,231,2016,América Central e Caribe
República Dominicana,49,41,100,85,159,87,77,194,76,135,0,48,2016,América Central e Caribe
Trinidad e Tobago,19,32,15,27,34,19,27,154,34,25,0,23,2016,América Central e Caribe
Canadá,2007,2322,2045,1357,1237,1377,2369,5081,1799,577,0,828,2016,América do Norte
Estados Unidos,14901,20743,19598,13716,13837,21029,23419,46311,14239,9422,0,13925,2016,América do Norte
México,783,943,1169,844,1090,1257,1481,2012,826,1169,0,1016,2016,América do Norte
Argentina,41227,36030,31692,23558,22868,21157,32639,25573,28350,32682,0,40214,2016,América do Sul
Bolívia,69,69,99,66,51,58,102,59,73,84,0,96,2016,América do Sul
Chile,13024,14916,8571,6919,7438,8346,11117,6718,9799,11784,0,10228,2016,América do Sul
Colômbia,2280,1906,3030,1758,1896,2551,2430,2327,1818,2072,0,2724,2016,América do Sul
Equador,245,324,601,537,471,378,422,385,429,488,0,349,2016,América do Sul
Guiana,0,4,4,5,1,3,3,18,4,0,0,3,2016,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2016,América do Sul
Paraguai,514,326,392,264,366,396,378,216,245,258,0,383,2016,América do Sul
Peru,958,1301,1689,1099,1410,1135,1227,1050,988,1185,0,1072,2016,América do Sul
Suriname,1,0,3,8,4,1,0,5,18,8,0,5,2016,América do Sul
Uruguai,4287,4010,5939,2468,2399,2660,2924,2891,4731,4012,0,2395,2016,América do Sul
Venezuela,654,616,760,515,526,427,540,721,513,423,0,484,2016,América do Sul
Arábia Saudita,21,33,47,37,26,5,55,100,40,27,0,11,2016,Ásia
Bangladesh,3,4,12,4,5,12,22,41,8,26,0,3,2016,Ásia
China,601,1164,911,678,776,687,2685,3607,1084,871,0,584,2016,Ásia
"China, Hong Kong",60,356,110,60,74,80,125,154,96,55,0,81,2016,Ásia
Cingapura,114,76,60,125,104,66,110,159,100,85,0,60,2016,Ásia
